catalog_name	family	copy	LG
55399	01	x2	0
55408	09	x1	0
55469	08	x1	4
55475	01	x1	0
55475	08	x1	5
55475	09	x1	0
55481	08	x1	1
55498	08	x1	34
55498	09	x1	0
55507	01	x1	0
55507	08	x1	27
55507	09	x1	0
55510	08	x1	14
55522	01	x1	0
55522	08	x1	11
55522	09	x1	0
55561	01	x1	0
55561	09	x1	0
55585	08	x1	27
55585	09	x1	0
55602	01	x1	0
55602	08	x1	11
55602	09	x1	0
55608	09	x1	0
55615	08	x1	28
55640	08	x1	37
55640	09	x1	0
55671	09	x1	0
55686	09	x1	0
55712	09	x1	0
55741	08	x1	7
55778	09	x1	0
55791	08	x1	7
55791	09	x1	0
55791	09	x2	0
55826	08	x1	24
55860	09	x1	0
55933	09	x1	0
55967	01	x1	0
55967	01	x2	0
55967	08	x1	9
56002	01	x1	0
56002	09	x1	0
56018	08	x1	9
56018	09	x1	0
56047	09	x1	0
56205	08	x1	9
56216	09	x1	0
56229	01	x1	0
56229	09	x1	0
56271	08	x1	26
56276	01	x1	0
56276	08	x1	27
56327	08	x1	35
56384	01	x1	0
56384	08	x1	20
56446	08	x1	25
56507	08	x1	14
56516	01	x1	0
56565	09	x1	0
56591	08	x1	2
56591	09	x1	0
56629	08	x1	28
56629	09	x1	0
56630	09	x1	0
56642	01	x1	0
56642	09	x1	0
56653	01	x1	0
56653	08	x1	11
