catalog_name	family	copy	LG
46270	01	x1	11
46306	01	x1	9
46319	08	x1	0
46326	01	x1	0
46367	01	x1	14
46367	09	x1	0
46381	08	x1	12
46397	08	x1	16
46397	09	x1	16
46400	09	x1	8
4642	01	x1	22
4642	09	x1	11
46446	01	x1	0
46446	08	x1	0
46446	09	x1	0
4647	08	x1	27
46510	08	x1	11
46510	09	x1	0
46540	08	x1	2
46542	08	x1	35
46542	09	x1	6
46565	08	x1	2
46598	09	x1	0
46609	08	x1	7
46626	08	x1	6
46632	09	x1	0
46655	01	x1	5
46666	01	x1	11
46666	08	x1	11
46687	09	x1	0
46705	09	x1	0
46713	01	x1	7
46737	08	x1	10
46760	01	x1	0
46818	01	x1	0
46818	09	x1	0
46830	01	x1	0
46906	01	x1	0
46906	09	x1	0
46909	09	x1	9
46916	01	x1	0
46916	08	x1	6
46916	09	x1	6
46940	09	x1	0
46975	01	x1	11
46988	08	x1	35
46988	09	x1	6
47083	01	x1	0
47083	09	x1	0
47084	01	x1	22
47084	08	x1	22
47161	01	x1	37
47161	08	x1	9
4717	08	x1	5
4717	08	x2	19
4717	09	x1	5
47181	01	x1	37
47219	01	x1	7
47253	01	x1	0
47262	08	x1	11
47262	09	x1	11
47267	01	x1	0
47267	08	x1	7
47316	09	x1	0
4731	08	x1	0
4737	01	x1	20
47390	09	x1	0
47398	08	x1	9
47409	08	x1	7
47427	08	x1	0
47466	09	x1	0
47478	01	x1	31
47552	01	x1	28
47575	09	x1	0
47698	01	x1	0
47698	08	x1	11
47698	09	x1	2
476	01	x1	10
476	01	x2	28
47713	01	x1	0
47713	09	x1	0
47738	01	x1	7
47738	08	x1	0
47738	08	x2	36
47738	09	x1	7
47757	09	x1	6
47784	08	x1	21
47784	09	x1	21
47795	01	x1	27
47795	09	x1	27
47882	09	x1	15
47907	01	x1	12
47965	08	x1	28
47965	09	x1	10
47987	01	x1	0
47987	09	x1	0
47	08	x1	0
48182	01	x1	22
48182	08	x1	22
48192	01	x1	0
48192	09	x1	0
48208	08	x1	0
48296	08	x1	7
48296	08	x2	36
48307	09	x1	17
48312	09	x1	0
48375	09	x1	0
48392	08	x1	2
48426	01	x1	0
48426	09	x1	0
48448	01	x1	22
48448	09	x1	11
48460	09	x1	0
48507	09	x1	0
48522	08	x1	32
48540	01	x1	22
48540	09	x1	22
48610	08	x1	7
48610	08	x2	7
48610	09	x1	7
48610	09	x2	7
48742	08	x1	28
4878	01	x1	31
4878	08	x1	31
48814	01	x1	0
48814	09	x1	6
